Date;Pays;Filière;Valeur (Mt)
2016-01;"Autriche";"Autre";0,01399464
2016-02;"Autriche";"Autre";0,01309176
2016-03;"Autriche";"Autre";0,01399464
2016-04;"Autriche";"Autre";0,0135432
2016-05;"Autriche";"Autre";0,01399464
2016-06;"Autriche";"Autre";0,0135432
2016-07;"Autriche";"Autre";0,01399464
2016-08;"Autriche";"Autre";0,01399464
2016-09;"Autriche";"Autre";0,0135432
2016-10;"Autriche";"Autre";0,01399464
2016-11;"Autriche";"Autre";0,0135432
2016-12;"Autriche";"Autre";0,01399464
2017-01;"Autriche";"Autre";0,01399464
2017-02;"Autriche";"Autre";0,01264032
2017-03;"Autriche";"Autre";0,01399464
2017-04;"Autriche";"Autre";0,0135432
2017-05;"Autriche";"Autre";0,01399464
2017-06;"Autriche";"Autre";0,0135432
2017-07;"Autriche";"Autre";0,01399464
2017-08;"Autriche";"Autre";0,01399464
2017-09;"Autriche";"Autre";0,0135432
2017-10;"Autriche";"Autre";0,01399464
2017-11;"Autriche";"Autre";0,0135432
2017-12;"Autriche";"Autre";0,01399464
2018-01;"Autriche";"Autre";0,01399464
2018-02;"Autriche";"Autre";0,01264032
2018-03;"Autriche";"Autre";0,01399464
2018-04;"Autriche";"Autre";0,0135432
2018-05;"Autriche";"Autre";0,01399464
2018-06;"Autriche";"Autre";0,0135432
2018-07;"Autriche";"Autre";0,01399464
2018-08;"Autriche";"Autre";0,01399464
2018-09;"Autriche";"Autre";0,0135432
2018-10;"Autriche";"Autre";0,01399464
2018-11;"Autriche";"Autre";0,0135432
2018-12;"Autriche";"Autre";0,01399464
2019-01;"Autriche";"Autre";0,01399464
2019-02;"Autriche";"Autre";0,01264032
2019-03;"Autriche";"Autre";0,01399464
2019-04;"Autriche";"Autre";0,0135432
2019-05;"Autriche";"Autre";0,01399464
2019-06;"Autriche";"Autre";0,0135432
2019-07;"Autriche";"Autre";0,01399464
2019-08;"Autriche";"Autre";0,01399464
2019-09;"Autriche";"Autre";0,0135432
2019-10;"Autriche";"Autre";0,01399464
2019-11;"Autriche";"Autre";0,0135432
2019-12;"Autriche";"Autre";0,01399464
2020-01;"Autriche";"Autre";0,01399464
2020-02;"Autriche";"Autre";0,01309176
2020-03;"Autriche";"Autre";0,01399464
2020-04;"Autriche";"Autre";0,0135432
2020-05;"Autriche";"Autre";0,01399464
2020-06;"Autriche";"Autre";0,0135432
2020-07;"Autriche";"Autre";0,01399464
2020-08;"Autriche";"Autre";0,01399464
2020-09;"Autriche";"Autre";0,0135432
2020-10;"Autriche";"Autre";0,01399464
2020-11;"Autriche";"Autre";0,0135432
2020-12;"Autriche";"Autre";0,01399464
2021-01;"Autriche";"Autre";0,01399464
2021-02;"Autriche";"Autre";0,01264032
2021-03;"Autriche";"Autre";0,01399464
2021-04;"Autriche";"Autre";0,0135432
2021-05;"Autriche";"Autre";0,01399464
2021-06;"Autriche";"Autre";0,0135432
2021-07;"Autriche";"Autre";0,01399464
2021-08;"Autriche";"Autre";0,01399464
2021-09;"Autriche";"Autre";0,0135432
2021-10;"Autriche";"Autre";0,01399464
2021-11;"Autriche";"Autre";0,0135432
2021-12;"Autriche";"Autre";0,01399464
2022-01;"Autriche";"Autre";0,01399464
2022-02;"Autriche";"Autre";0,01264032
2022-03;"Autriche";"Autre";0,01399464
2022-04;"Autriche";"Autre";0,0135432
2022-05;"Autriche";"Autre";0,01399464
2022-06;"Autriche";"Autre";0,0135432
2022-07;"Autriche";"Autre";0,01399464
2022-08;"Autriche";"Autre";0,01399464
2022-09;"Autriche";"Autre";0,0135432
2022-10;"Autriche";"Autre";0,01399464
2022-11;"Autriche";"Autre";0,0135432
2022-12;"Autriche";"Autre";0,01399464
2023-01;"Autriche";"Autre";0,01399464
2023-02;"Autriche";"Autre";0,01264032
2023-03;"Autriche";"Autre";0,01399464
2023-04;"Autriche";"Autre";0,0135432
2023-05;"Autriche";"Autre";0,01399464
2023-06;"Autriche";"Autre";0,0135432
2023-07;"Autriche";"Autre";0,01399464
2023-08;"Autriche";"Autre";0,01399464
2023-09;"Autriche";"Autre";0,0135432
2023-10;"Autriche";"Autre";0,01399464
2023-11;"Autriche";"Autre";0,0135432
2023-12;"Autriche";"Autre";0,01399464
2024-01;"Autriche";"Autre";0,01399464
2024-02;"Autriche";"Autre";0,01309176
2024-03;"Autriche";"Autre";0,01399464
2024-04;"Autriche";"Autre";0,0135432
2024-05;"Autriche";"Autre";0,01399464
2024-06;"Autriche";"Autre";0,0135432
2024-07;"Autriche";"Autre";0,01399464
2024-08;"Autriche";"Autre";0,01399464
2024-09;"Autriche";"Autre";0,0135432
2024-10;"Autriche";"Autre";0,01399464
2024-11;"Autriche";"Autre";0,0135432
2024-12;"Autriche";"Autre";0,01399464
2025-01;"Autriche";"Autre";0,01399464
2025-02;"Autriche";"Autre";0,01264032
2025-03;"Autriche";"Autre";0,01399464
2025-04;"Autriche";"Autre";0,0135432
2025-05;"Autriche";"Autre";0,01399464
2025-06;"Autriche";"Autre";0,0135432
2025-07;"Autriche";"Autre";0,01399464
2025-08;"Autriche";"Autre";0,01399464
2025-09;"Autriche";"Autre";0,0135432
2025-10;"Autriche";"Autre";0,01399464
2025-11;"Autriche";"Autre";0,0135432
2016-01;"Autriche";"Dechets";0,063612
2016-02;"Autriche";"Dechets";0,059508
2016-03;"Autriche";"Dechets";0,063612
2016-04;"Autriche";"Dechets";0,06156
2016-05;"Autriche";"Dechets";0,063612
2016-06;"Autriche";"Dechets";0,06156
2016-07;"Autriche";"Dechets";0,063612
2016-08;"Autriche";"Dechets";0,063612
2016-09;"Autriche";"Dechets";0,06156
2016-10;"Autriche";"Dechets";0,063612
2016-11;"Autriche";"Dechets";0,06156
2016-12;"Autriche";"Dechets";0,063612
2017-01;"Autriche";"Dechets";0,063612
2017-02;"Autriche";"Dechets";0,057456
2017-03;"Autriche";"Dechets";0,063612
2017-04;"Autriche";"Dechets";0,06156
2017-05;"Autriche";"Dechets";0,063612
2017-06;"Autriche";"Dechets";0,06156
2017-07;"Autriche";"Dechets";0,063612
2017-08;"Autriche";"Dechets";0,063612
2017-09;"Autriche";"Dechets";0,06156
2017-10;"Autriche";"Dechets";0,063612
2017-11;"Autriche";"Dechets";0,06156
2017-12;"Autriche";"Dechets";0,063612
2018-01;"Autriche";"Dechets";0,063612
2018-02;"Autriche";"Dechets";0,057456
2018-03;"Autriche";"Dechets";0,063612
2018-04;"Autriche";"Dechets";0,06156
2018-05;"Autriche";"Dechets";0,063612
2018-06;"Autriche";"Dechets";0,06156
2018-07;"Autriche";"Dechets";0,063612
2018-08;"Autriche";"Dechets";0,063612
2018-09;"Autriche";"Dechets";0,06156
2018-10;"Autriche";"Dechets";0,063612
2018-11;"Autriche";"Dechets";0,06156
2018-12;"Autriche";"Dechets";0,063612
2019-01;"Autriche";"Dechets";0,063612
2019-02;"Autriche";"Dechets";0,057456
2019-03;"Autriche";"Dechets";0,063612
2019-04;"Autriche";"Dechets";0,06156
2019-05;"Autriche";"Dechets";0,063612
2019-06;"Autriche";"Dechets";0,06156
2019-07;"Autriche";"Dechets";0,063612
2019-08;"Autriche";"Dechets";0,063612
2019-09;"Autriche";"Dechets";0,06156
2019-10;"Autriche";"Dechets";0,063612
2019-11;"Autriche";"Dechets";0,06156
2019-12;"Autriche";"Dechets";0,063612
2020-01;"Autriche";"Dechets";0,063612
2020-02;"Autriche";"Dechets";0,059508
2020-03;"Autriche";"Dechets";0,063612
2020-04;"Autriche";"Dechets";0,06156
2020-05;"Autriche";"Dechets";0,063612
2020-06;"Autriche";"Dechets";0,06156
2020-07;"Autriche";"Dechets";0,063612
2020-08;"Autriche";"Dechets";0,063612
2020-09;"Autriche";"Dechets";0,06156
2020-10;"Autriche";"Dechets";0,063612
2020-11;"Autriche";"Dechets";0,06156
2020-12;"Autriche";"Dechets";0,063612
2021-01;"Autriche";"Dechets";0,063612
2021-02;"Autriche";"Dechets";0,057456
2021-03;"Autriche";"Dechets";0,063612
2021-04;"Autriche";"Dechets";0,06156
2021-05;"Autriche";"Dechets";0,063612
2021-06;"Autriche";"Dechets";0,06156
2021-07;"Autriche";"Dechets";0,063612
2021-08;"Autriche";"Dechets";0,063612
2021-09;"Autriche";"Dechets";0,06156
2021-10;"Autriche";"Dechets";0,063612
2021-11;"Autriche";"Dechets";0,06156
2021-12;"Autriche";"Dechets";0,063612
2022-01;"Autriche";"Dechets";0,063612
2022-02;"Autriche";"Dechets";0,057456
2022-03;"Autriche";"Dechets";0,063612
2022-04;"Autriche";"Dechets";0,06156
2022-05;"Autriche";"Dechets";0,063612
2022-06;"Autriche";"Dechets";0,06156
2022-07;"Autriche";"Dechets";0,063612
2022-08;"Autriche";"Dechets";0,063612
2022-09;"Autriche";"Dechets";0,06156
2022-10;"Autriche";"Dechets";0,063612
2022-11;"Autriche";"Dechets";0,06156
2022-12;"Autriche";"Dechets";0,063612
2023-01;"Autriche";"Dechets";0,063612
2023-02;"Autriche";"Dechets";0,057456
2023-03;"Autriche";"Dechets";0,063612
2023-04;"Autriche";"Dechets";0,06156
2023-05;"Autriche";"Dechets";0,063612
