Date;Pays;Filière;Valeur (TWh)
2016-01;"Autriche";"Consommation brute";5,9088892962646
2016-02;"Autriche";"Consommation brute";5,4278894985352
2016-03;"Autriche";"Consommation brute";5,6164751984863
2016-04;"Autriche";"Consommation brute";4,9392806004639
2016-05;"Autriche";"Consommation brute";4,8065370991211
2016-06;"Autriche";"Consommation brute";4,7921516035156
2016-07;"Autriche";"Consommation brute";4,8220141982422
2016-08;"Autriche";"Consommation brute";4,7651420025635
2016-09;"Autriche";"Consommation brute";4,8832138985596
2016-10;"Autriche";"Consommation brute";5,284776197998
2016-11;"Autriche";"Consommation brute";5,6589011962891
2016-12;"Autriche";"Consommation brute";5,8716689003906
2017-01;"Autriche";"Consommation brute";6,343694401123
2017-02;"Autriche";"Consommation brute";5,4620738979492
2017-03;"Autriche";"Consommation brute";5,5313163989258
2017-04;"Autriche";"Consommation brute";4,9578010952148
2017-05;"Autriche";"Consommation brute";4,8957881015625
2017-06;"Autriche";"Consommation brute";4,7779616016846
2017-07;"Autriche";"Consommation brute";4,8882277987061
2017-08;"Autriche";"Consommation brute";4,8531899003906
2017-09;"Autriche";"Consommation brute";4,9865525021973
2017-10;"Autriche";"Consommation brute";5,2284185981445
2017-11;"Autriche";"Consommation brute";5,7179492967529
2017-12;"Autriche";"Consommation brute";5,9114652989502
2018-01;"Autriche";"Consommation brute";5,9607624971924
2018-02;"Autriche";"Consommation brute";5,6255071013184
2018-03;"Autriche";"Consommation brute";5,981082298584
2018-04;"Autriche";"Consommation brute";4,8455162993164
2018-05;"Autriche";"Consommation brute";4,8511785
2018-06;"Autriche";"Consommation brute";4,8785117005615
2018-07;"Autriche";"Consommation brute";4,78605150354
2018-08;"Autriche";"Consommation brute";5,0034103988037
2018-09;"Autriche";"Consommation brute";4,9452637037354
2018-10;"Autriche";"Consommation brute";5,3177157010498
2018-11;"Autriche";"Consommation brute";5,582003802002
2018-12;"Autriche";"Consommation brute";5,8713416022949
2019-01;"Autriche";"Consommation brute";6,2166002974854
2019-02;"Autriche";"Consommation brute";5,4140465977783
2019-03;"Autriche";"Consommation brute";5,5877057989502
2019-04;"Autriche";"Consommation brute";4,8782566000977
2019-05;"Autriche";"Consommation brute";5,1099584963379
2019-06;"Autriche";"Consommation brute";4,7420073972168
2019-07;"Autriche";"Consommation brute";4,9662929998779
2019-08;"Autriche";"Consommation brute";4,8459296972656
